====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   r 
 in 1e-09 sec | l   2   4   8   1   3   6   1   2   5   1   2   4   8   1   3   6   1   e 
              | k               6   2   4   2   5   1   0   0   0   1   6   2   5   3   s 
     113301.1 | 1   1   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113400.0 | 0   1   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113500.0 | 1   1   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113501.4 | 1   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113502.4 | 1   0   1   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113600.0 | 0   0   1   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113700.0 | 1   0   1   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113701.1 | 1   1   1   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113800.0 | 0   1   1   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113900.0 | 1   1   1   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113901.4 | 1   0   1   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113902.7 | 1   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     113903.7 | 1   0   0   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114000.0 | 0   0   0   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114100.0 | 1   0   0   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114101.1 | 1   1   0   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114200.0 | 0   1   0   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114300.0 | 1   1   0   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114301.4 | 1   0   0   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114302.4 | 1   0   1   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114400.0 | 0   0   1   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114500.0 | 1   0   1   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114501.1 | 1   1   1   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114600.0 | 0   1   1   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114700.0 | 1   1   1   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114701.4 | 1   0   1   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114702.7 | 1   0   0   1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114704.0 | 1   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114705.0 | 1   0   0   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114800.0 | 0   0   0   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114900.0 | 1   0   0   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     114901.1 | 1   1   0   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115000.0 | 0   1   0   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115100.0 | 1   1   0   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115101.4 | 1   0   0   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115102.4 | 1   0   1   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115200.0 | 0   0   1   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115300.0 | 1   0   1   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115301.1 | 1   1   1   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115400.0 | 0   1   1   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115500.0 | 1   1   1   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115501.4 | 1   0   1   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115502.7 | 1   0   0   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115503.7 | 1   0   0   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115600.0 | 0   0   0   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115700.0 | 1   0   0   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115701.1 | 1   1   0   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115800.0 | 0   1   0   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115900.0 | 1   1   0   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115901.4 | 1   0   0   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     115902.4 | 1   0   1   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116000.0 | 0   0   1   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116100.0 | 1   0   1   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116101.1 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116200.0 | 0   1   1   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116300.0 | 1   1   1   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116301.4 | 1   0   1   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116302.7 | 1   0   0   1   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116304.0 | 1   0   0   0   1   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116305.3 | 1   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     116306.6 | 1   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   0
     116307.9 | 1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
     116308.9 | 1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116400.0 | 0   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116500.0 | 1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116501.1 | 1   1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116600.0 | 0   1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116700.0 | 1   1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116701.4 | 1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116702.4 | 1   0   1   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116800.0 | 0   0   1   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116900.0 | 1   0   1   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     116901.1 | 1   1   1   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117000.0 | 0   1   1   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117100.0 | 1   1   1   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117101.4 | 1   0   1   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117102.7 | 1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117103.7 | 1   0   0   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117200.0 | 0   0   0   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117300.0 | 1   0   0   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117301.1 | 1   1   0   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117400.0 | 0   1   0   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117500.0 | 1   1   0   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117501.4 | 1   0   0   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117502.4 | 1   0   1   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117600.0 | 0   0   1   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117700.0 | 1   0   1   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117701.1 | 1   1   1   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117800.0 | 0   1   1   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117900.0 | 1   1   1   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117901.4 | 1   0   1   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117902.7 | 1   0   0   1   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117904.0 | 1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     117905.0 | 1   0   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118000.0 | 0   0   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118100.0 | 1   0   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118101.1 | 1   1   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118200.0 | 0   1   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118300.0 | 1   1   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118301.4 | 1   0   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118302.4 | 1   0   1   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118400.0 | 0   0   1   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118500.0 | 1   0   1   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118501.1 | 1   1   1   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118600.0 | 0   1   1   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118700.0 | 1   1   1   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118701.4 | 1   0   1   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118702.7 | 1   0   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118703.7 | 1   0   0   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118800.0 | 0   0   0   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118900.0 | 1   0   0   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     118901.1 | 1   1   0   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119000.0 | 0   1   0   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119100.0 | 1   1   0   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119101.4 | 1   0   0   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119102.4 | 1   0   1   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119200.0 | 0   0   1   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119300.0 | 1   0   1   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119301.1 | 1   1   1   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119400.0 | 0   1   1   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119500.0 | 1   1   1   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119501.4 | 1   0   1   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119502.7 | 1   0   0   1   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119504.0 | 1   0   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119505.3 | 1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     119506.3 | 1   0   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     119600.0 | 0   0   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     119700.0 | 1   0   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     119701.1 | 1   1   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     119800.0 | 0   1   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     119900.0 | 1   1   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     119901.4 | 1   0   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     119902.4 | 1   0   1   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120000.0 | 0   0   1   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120100.0 | 1   0   1   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120101.1 | 1   1   1   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120200.0 | 0   1   1   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120300.0 | 1   1   1   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120301.4 | 1   0   1   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120302.7 | 1   0   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120303.7 | 1   0   0   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120400.0 | 0   0   0   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120500.0 | 1   0   0   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120501.1 | 1   1   0   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120600.0 | 0   1   0   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120700.0 | 1   1   0   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120701.4 | 1   0   0   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120702.4 | 1   0   1   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120800.0 | 0   0   1   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120900.0 | 1   0   1   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     120901.1 | 1   1   1   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121000.0 | 0   1   1   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121100.0 | 1   1   1   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121101.4 | 1   0   1   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121102.7 | 1   0   0   1   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121104.0 | 1   0   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121105.0 | 1   0   0   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121200.0 | 0   0   0   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121300.0 | 1   0   0   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121301.1 | 1   1   0   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121400.0 | 0   1   0   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121500.0 | 1   1   0   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121501.4 | 1   0   0   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121502.4 | 1   0   1   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121600.0 | 0   0   1   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121700.0 | 1   0   1   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121701.1 | 1   1   1   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121800.0 | 0   1   1   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121900.0 | 1   1   1   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121901.4 | 1   0   1   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121902.7 | 1   0   0   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     121903.7 | 1   0   0   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122000.0 | 0   0   0   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122100.0 | 1   0   0   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122101.1 | 1   1   0   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122200.0 | 0   1   0   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122300.0 | 1   1   0   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122301.4 | 1   0   0   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122302.4 | 1   0   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122400.0 | 0   0   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122500.0 | 1   0   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122501.1 | 1   1   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122600.0 | 0   1   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122700.0 | 1   1   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122701.4 | 1   0   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122702.7 | 1   0   0   1   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122704.0 | 1   0   0   0   1   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122705.3 | 1   0   0   0   0   1   0   1   0   0   1   0   0   0   0   0   0   0   0
     122706.6 | 1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
     122707.6 | 1   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     122800.0 | 0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     122900.0 | 1   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     122901.1 | 1   1   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123000.0 | 0   1   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123100.0 | 1   1   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123101.4 | 1   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123102.4 | 1   0   1   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123200.0 | 0   0   1   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123300.0 | 1   0   1   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123301.1 | 1   1   1   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123400.0 | 0   1   1   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123500.0 | 1   1   1   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123501.4 | 1   0   1   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123502.7 | 1   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123503.7 | 1   0   0   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123600.0 | 0   0   0   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123700.0 | 1   0   0   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123701.1 | 1   1   0   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123800.0 | 0   1   0   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123900.0 | 1   1   0   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123901.4 | 1   0   0   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     123902.4 | 1   0   1   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124000.0 | 0   0   1   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124100.0 | 1   0   1   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124101.1 | 1   1   1   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124200.0 | 0   1   1   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124300.0 | 1   1   1   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124301.4 | 1   0   1   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124302.7 | 1   0   0   1   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124304.0 | 1   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124305.0 | 1   0   0   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124400.0 | 0   0   0   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124500.0 | 1   0   0   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124501.1 | 1   1   0   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124600.0 | 0   1   0   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124700.0 | 1   1   0   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124701.4 | 1   0   0   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124702.4 | 1   0   1   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124800.0 | 0   0   1   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124900.0 | 1   0   1   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     124901.1 | 1   1   1   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125000.0 | 0   1   1   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125100.0 | 1   1   1   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125101.4 | 1   0   1   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125102.7 | 1   0   0   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125103.7 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125200.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125300.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125301.1 | 1   1   0   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125400.0 | 0   1   0   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125500.0 | 1   1   0   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125501.4 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125502.4 | 1   0   1   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125600.0 | 0   0   1   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125700.0 | 1   0   1   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125701.1 | 1   1   1   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125800.0 | 0   1   1   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125900.0 | 1   1   1   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125901.4 | 1   0   1   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125902.7 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125904.0 | 1   0   0   0   1   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125905.3 | 1   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0   0   0   0
     125906.3 | 1   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126000.0 | 0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126100.0 | 1   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126101.1 | 1   1   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126200.0 | 0   1   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126300.0 | 1   1   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126301.4 | 1   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126302.4 | 1   0   1   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126400.0 | 0   0   1   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126500.0 | 1   0   1   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126501.1 | 1   1   1   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126600.0 | 0   1   1   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126700.0 | 1   1   1   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126701.4 | 1   0   1   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126702.7 | 1   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126703.7 | 1   0   0   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126800.0 | 0   0   0   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126900.0 | 1   0   0   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     126901.1 | 1   1   0   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127000.0 | 0   1   0   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127100.0 | 1   1   0   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127101.4 | 1   0   0   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127102.4 | 1   0   1   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127200.0 | 0   0   1   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127300.0 | 1   0   1   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127301.1 | 1   1   1   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127400.0 | 0   1   1   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127500.0 | 1   1   1   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127501.4 | 1   0   1   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127502.7 | 1   0   0   1   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127504.0 | 1   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127505.0 | 1   0   0   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127600.0 | 0   0   0   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127700.0 | 1   0   0   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127701.1 | 1   1   0   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127800.0 | 0   1   0   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127900.0 | 1   1   0   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127901.4 | 1   0   0   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     127902.4 | 1   0   1   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     128000.0 | 0   0   1   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     128100.0 | 1   0   1   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     128101.1 | 1   1   1   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     128200.0 | 0   1   1   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     128300.0 | 1   1   1   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     128301.4 | 1   0   1   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     128302.7 | 1   0   0   0   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
     128303.7 | 1   0   0   1   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0
